uga;code_cip_id;pharmacies_name;appellation_titulaire;owner_last_name;owner_first_name;commune;postal_code
71MAC;2055285;PHARMACY NUM125;M;Cécilio;Mateus;FEILLENS;1570
71MAC;2000393;PHARMACY NUM126;M;Gena;Miki;MANZIAT;1570
01NAN;2056100;PHARMACY NUM127;M;Bastin;Magdalena;IZERNORE;1580
01GEX;2055259;PHARMACY NUM128;Mme;Bérangère;Clay;DORTAN;1590
01TRE;2055421;PHARMACY NUM129;Mme;Téodoro;Thélo;MASSIEUX;1600
01TRE;2257511;PHARMACY NUM130;Mme;Mira;Bertolomeo;MISERIEUX;1600
01TRE;2000409;PHARMACY NUM131;Mme;Giuliana;Michaëla;REYRIEUX;1600
01TRE;2003774;PHARMACY NUM132;M;Brahim;Genoveva;TREVOUX;1600
01TRE;2002728;PHARMACY NUM133;M;Guilaine;Bonnie;TREVOUX;1600
01GEX;2005769;PHARMACY NUM134;M;Gianni;Tatien;PERON;1630
01GEX;2000960;PHARMACY NUM135;M;Mattea;Mamar;ST GENIS POUILLY;1630
01GEX;2055809;PHARMACY NUM136;Mme;Théodose;Maëliss;ST GENIS POUILLY;1630
01GEX;2765888;PHARMACY NUM137;Mme;Brieg;Guewen;ST GENIS POUILLY;1630
01NAN;2000304;PHARMACY NUM138;M;Bogdan;Filiberto;JUJURIEUX;1640
01BOU;2000299;PHARMACY NUM139;Mme;Genevivo;Mateusz;MEZERIAT;1660
01MIR;2271012;PHARMACY NUM140;Mme;Gaxina;Tyson;BEYNOST;1700
01MIR;2055463;PHARMACY NUM141;Mme;Bienvenu;Brandy;MIRIBEL;1700
01MIR;2000262;PHARMACY NUM142;Mme;Octavius;Météa;MIRIBEL;1700
01MIR;2000278;PHARMACY NUM143;Mme;Rédoine;Franco;MIRIBEL;1700
01MIR;2251038;PHARMACY NUM144;M;Bryan;Mauricio;NEYRON;1700
01MIR;2000283;PHARMACY NUM145;Mme;Mélusine;Frederiko;ST MAURICE DE BEYNOST;1700
01GEX;2000189;PHARMACY NUM146;M;Giovanni;Magdalène;THOIRY;1710
01GEX;2706068;PHARMACY NUM147;M;Mariama;Gaston;THOIRY;1710
71MAC;2014090;PHARMACY NUM148;M;Gab;Bey;REPLONGES;1750
71MAC;2055835;PHARMACY NUM149;Mme;Christobal;Odil;ST LAURENT SUR SAONE;1750
01MIR;2055437;PHARMACY NUM150;Mme;Mathurin;Ghislain;MEXIMIEUX;1800
01MIR;2055458;PHARMACY NUM151;M;Clyde;Fayçal;MEXIMIEUX;1800
01MIR;2002519;PHARMACY NUM152;Mme;Gideon;Berthold;MEXIMIEUX;1800
01MIR;2055840;PHARMACY NUM153;Mme;Tao;Reymond;ST MAURICE DE GOURDANS;1800
01MIR;2288178;PHARMACY NUM154;Mme;Adelinde;Faïsal;VILLIEU LOYES MOLLON;1800
01BOU;2002038;PHARMACY NUM155;M;Roscoe;Guerard;MARBOZ;1851
01BOU;2003716;PHARMACY NUM156;Mme;Mélody;Manola;PERONNAS;1960
01BOU;2000173;PHARMACY NUM157;Mme;Rigobert;Gwen;PERONNAS;1960
01TRE;2000325;PHARMACY NUM158;M;Abraham;Giraud;ST TRIVIER SUR MOIGNANS;1990
02LAO;2056163;PHARMACY NUM159;Mme;Gracielle;Frank;AULNOIS SOUS LAON;2000
02LAO;2268078;PHARMACY NUM160;Mme;Matei;Raphaël;LAON;2000
02LAO;2268827;PHARMACY NUM161;M;Madiha;Giraldo;LAON;2000
02LAO;2259105;PHARMACY NUM162;M;Maricka;Grace;LAON;2000
02LAO;2056891;PHARMACY NUM163;M;Adara;Maryanna;LAON;2000
02LAO;2056907;PHARMACY NUM164;Mme;Fayçel;Francés;LAON;2000
02LAO;2056912;PHARMACY NUM165;M;Gabia;Markus;LAON;2000
02LAO;2056933;PHARMACY NUM166;Mme;Madez;Tonino;LAON;2000
02LAO;2000786;PHARMACY NUM167;M;Gustava;Chirak;LAON;2000
02LAO;2000791;PHARMACY NUM168;Mme;Boubaker;Mabella;LAON;2000
02LAO;2002517;PHARMACY NUM169;Mme;Mallory;Martik;MONS EN LAONNOIS;2000
02LAO;2057539;PHARMACY NUM170;Mme;Raimund;Adéline;URCEL;2000
02SQU;2056781;PHARMACY NUM171;M;Madisone;Maora;HARLY;2100
02SQU;2056954;PHARMACY NUM172;Mme;Madison;Obispo;LESDINS;2100
02SQU;2280870;PHARMACY NUM173;Mme;Marceline;Blanche;ST QUENTIN;2100
02SQU;2253433;PHARMACY NUM174;Mme;Tadek;Magdalen;ST QUENTIN;2100
02SQU;2256544;PHARMACY NUM175;M;Marise;Raynald;ST QUENTIN;2100
02SQU;2262254;PHARMACY NUM176;M;Tyméo;Maudie;ST QUENTIN;2100
02SQU;2272016;PHARMACY NUM177;Mme;Ginnie;Charles-Edouard;ST QUENTIN;2100
02SQU;2013262;PHARMACY NUM178;M;Bixente;Moïse;ST QUENTIN;2100
02SQU;2057214;PHARMACY NUM179;Mme;Aglaia;Bert;ST QUENTIN;2100
02SQU;2057235;PHARMACY NUM180;M;Madina;Manes;ST QUENTIN;2100
02SQU;2057261;PHARMACY NUM181;M;Mariel;Marcianne;ST QUENTIN;2100
02SQU;2057277;PHARMACY NUM182;Mme;Bertram;Tiber;ST QUENTIN;2100
02SQU;2057282;PHARMACY NUM183;M;Madissone;Rédouane;ST QUENTIN;2100
02SQU;2057303;PHARMACY NUM184;Mme;Madisson;Madennig;ST QUENTIN;2100
02SQU;2057350;PHARMACY NUM185;Mme;Romane;Guéric;ST QUENTIN;2100
02SQU;2057366;PHARMACY NUM186;Mme;Tancrède;Raffaële;ST QUENTIN;2100
02SQU;2000880;PHARMACY NUM187;Mme;Malaury;Gaylor;ST QUENTIN;2100
02SQU;2000875;PHARMACY NUM188;Mme;Maximiliano;Marycka;ST QUENTIN;2100
02SQU;2000901;PHARMACY NUM189;M;Mauritz;Gracielle;ST QUENTIN;2100
02SQU;2000613;PHARMACY NUM190;Mme;Bertile;Foued;ST QUENTIN;2100
02SQU;2000681;PHARMACY NUM191;Mme;Adrienne;Marouan;ST QUENTIN;2100
02SQU;2002506;PHARMACY NUM192;Mme;Grégory;Madalena;ST QUENTIN;2100
02SQU;2002394;PHARMACY NUM193;M;Berta;Matilda;ST QUENTIN;2100
02SQU;2004363;PHARMACY NUM194;Mme;Thibaut;Magnolia;ST QUENTIN;2100
02VER;2056252;PHARMACY NUM195;M;Benedetta;Merlin;BOHAIN EN VERMANDOIS;2110
02VER;2014324;PHARMACY NUM196;Mme;Melek;Genseric;BOHAIN EN VERMANDOIS;2110
02VER;2057387;PHARMACY NUM197;Mme;Casimir;Macaire;SEBONCOURT;2110
02SQU;2056179;PHARMACY NUM198;Mme;Méimoun;Médéric;BEAUREVOIR;2110
02SQU;2056996;PHARMACY NUM199;Mme;Bob;Mariline;MONTBREHAIN;2110
02VER;2004678;PHARMACY NUM200;Mme;Rémy;Meidy;GUISE;2120
02VER;2000744;PHARMACY NUM201;Mme;Curt;Gertrude;GUISE;2120
02VER;2056760;PHARMACY NUM202;M;Bronislas;Marjoly;GUISE;2120
02VER;2000702;PHARMACY NUM203;Mme;Tobias;Cesaru;MARLY GOMONT;2120
02LAO;2057167;PHARMACY NUM204;Mme;Géraldine;Tam;SAINS RICHAUMONT;2120
02CHA;2056650;PHARMACY NUM205;Mme;Théophane;Matthew;FERE EN TARDENOIS;2130
02CHA;2266002;PHARMACY NUM206;M;Cristino;Marsie;FERE EN TARDENOIS;2130
02VER;2057570;PHARMACY NUM207;Mme;Marti;Gerry;VERVINS;2140
02LAO;2261643;PHARMACY NUM208;Mme;May;Maximilienne;SISSONNE;2150
02SOI;2005095;PHARMACY NUM209;Mme;Téliau;Maurilio;BEAURIEUX;2160
02SOI;2243179;PHARMACY NUM210;Mme;Frantzes;Giselle;BOURG ET COMIN;2160
02VER;2057078;PHARMACY NUM211;Mme;Roderick;Mohammud;LE NOUVION EN THIERACHE;2170
08RET;2056755;PHARMACY NUM212;Mme;Reynaldo;Marilyse;GUIGNICOURT;2190
02SOI;2056205;PHARMACY NUM213;Mme;Molly;Cyrian;BELLEU;2200
02SOI;2056210;PHARMACY NUM214;M;Moazan;Cassidy;BELLEU;2200
02SOI;2056509;PHARMACY NUM215;Mme;Gamiel;Mejdi;COURMELLES;2200
02SOI;2004332;PHARMACY NUM216;M;Madison;Farah;SOISSONS;2200
02SOI;2000828;PHARMACY NUM217;Mme;Conor;Galvina;SOISSONS;2200
02SOI;2000833;PHARMACY NUM218;Mme;Bertrande;Manfred;SOISSONS;2200
02SOI;2057413;PHARMACY NUM219;M;Romul;Téo;SOISSONS;2200
02SOI;2057429;PHARMACY NUM220;M;Bastienne;Timothey;SOISSONS;2200
02SOI;2057434;PHARMACY NUM221;Mme;Agatha;Remo;SOISSONS;2200
02SOI;2057460;PHARMACY NUM222;M;Gwenvrevi;Corentin;SOISSONS;2200
02SOI;2057476;PHARMACY NUM223;M;Tonny;Adjani;SOISSONS;2200
02SOI;2057481;PHARMACY NUM224;Mme;Breval;Rayhan;SOISSONS;2200
02SOI;2057497;PHARMACY NUM225;Mme;Beverly;Tong;SOISSONS;2200
02SOI;2057502;PHARMACY NUM226;Mme;Maggy;Margod;SOISSONS;2200
02SOI;2057518;PHARMACY NUM227;Mme;Obéron;Cory;SOISSONS;2200
02SOI;2288927;PHARMACY NUM228;M;Adenora;Costa;SOISSONS;2200
02SOI;2000655;PHARMACY NUM229;Mme;Trestan;Toussaint;VENIZEL;2200
02SOI;2000545;PHARMACY NUM230;Mme;Remo;Mettild;VILLENEUVE ST GERMAIN;2200
02CHA;2056472;PHARMACY NUM231;Mme;Mariella;Talha;COINCY;2210
02CHA;2057130;PHARMACY NUM232;Mme;Fauste;Gadiel;OULCHY LE CHATEAU;2210
02SOI;2056273;PHARMACY NUM233;Mme;Marietta;Oger;BRAINE;2220
02SOI;2251478;PHARMACY NUM234;Mme;Betty;Gil;BRAINE;2220
02VER;2264581;PHARMACY NUM235;Mme;Francky;Maryanna;FRESNOY LE GRAND;2230
02VER;2006434;PHARMACY NUM236;Mme;Teus;Bienaimé;RIBEMONT;2240
02LAO;2056975;PHARMACY NUM237;Mme;Reuben;Tifenn;MARLE;2250
02LAO;2000676;PHARMACY NUM238;Mme;Manig;Mamoudou;MARLE;2250
02VER;2056315;PHARMACY NUM239;Mme;Martin;Corto;LA CAPELLE;2260
02VER;2056320;PHARMACY NUM240;Mme;Marjory;Martin;LA CAPELLE;2260
02LAO;2056535;PHARMACY NUM241;Mme;Matteu;Maybel;CRECY SUR SERRE;2270
02SOI;2000592;PHARMACY NUM242;Mme;Martina;Maroi;AMBLENY;2290
02SOI;2057586;PHARMACY NUM243;M;Faustinien;Consuelo;VIC SUR AISNE;2290
60NOY;2056226;PHARMACY NUM244;Mme;Mansoura;Maëly;BLERANCOURT;2300
60NOY;2000765;PHARMACY NUM245;M;Ciryl;Adéline;CHAUNY;2300
60NOY;2056404;PHARMACY NUM246;M;Rankin;Tim;CHAUNY;2300
60NOY;2056425;PHARMACY NUM247;M;Maëlyss;Besse;CHAUNY;2300
60NOY;2056430;PHARMACY NUM248;M;Celin;Clayton;CHAUNY;2300
60NOY;2056446;PHARMACY NUM249;M;Maribelle;Ridge;CHAUNY;2300
60NOY;2056451;PHARMACY NUM250;Mme;Morad;Tomas;CHAUNY;2300
60NOY;2260676;PHARMACY NUM251;Mme;Minie;Majorie;OGNES;2300
60NOY;2287462;PHARMACY NUM252;Mme;Bill;Rufino;SINCENY;2300
60NOY;2057607;PHARMACY NUM253;Mme;Gavan;Adiba;VIRY NOUREUIL;2300
02CHA;2056341;PHARMACY NUM254;Mme;Maizter;Adelaïda;CHARLY SUR MARNE;2310
02CHA;2057649;PHARMACY NUM255;M;Marlaine;Rowan;MONTREUIL AUX LIONS;2310
02CHA;2000519;PHARMACY NUM256;Mme;Gérardine;Adalard;NOGENT L ARTAUD;2310
02LAO;2056137;PHARMACY NUM257;M;Mala;Majdouline;ANIZY LE CHATEAU;2320
02LAO;2057146;PHARMACY NUM258;M;Gennia;Grant;PINON;2320
51SEZ;2056488;PHARMACY NUM259;M;Monir;Germano;CONDE EN BRIE;2330
02LAO;2243210;PHARMACY NUM260;M;Maxence;Oberto;DIZY LE GROS;2340
02LAO;2057015;PHARMACY NUM261;M;Tomy;Cémil;MONTCORNET;2340
02LAO;2000503;PHARMACY NUM262;Mme;Goulvenez;Maryama;LIESSE NOTRE DAME;2350
08RET;2243184;PHARMACY NUM263;M;M'hamed;Ceslaw;BRUNEHAMEL;2360
08RET;2243226;PHARMACY NUM264;Mme;Magdalen;Malissa;ROZOY SUR SERRE;2360
02SOI;2057544;PHARMACY NUM265;Mme;Mard;Marc-Olivier;VAILLY SUR AISNE;2370
60NOY;2000629;PHARMACY NUM266;M;Britanny;Reinald;COUCY LE CHATEAU AUFFRIQUE;2380
02VER;2004493;PHARMACY NUM267;Mme;Gaïda;Messaoud;ORIGNY STE BENOITE;2390
02CHA;2056362;PHARMACY NUM268;Mme;Gildas;Matti;CHATEAU THIERRY;2400
02CHA;2056378;PHARMACY NUM269;Mme;Tal;Raymond;CHATEAU THIERRY;2400
02CHA;2056383;PHARMACY NUM270;M;Meagan;Bertille;CHATEAU THIERRY;2400
02CHA;2056399;PHARMACY NUM271;Mme;Tahar;Madani;CHATEAU THIERRY;2400
02CHA;2012946;PHARMACY NUM272;Mme;Gisèle;Boris;CHATEAU THIERRY;2400
02CHA;2271426;PHARMACY NUM273;Mme;Cassio;Romane;CHATEAU THIERRY;2400
02CHA;2014070;PHARMACY NUM274;M;Betti;Brunaëlle;ESSOMES SUR MARNE;2400
02CHA;2056598;PHARMACY NUM275;Mme;Megtilda;Mori;ETAMPES SUR MARNE;2400
60NOY;2057172;PHARMACY NUM276;M;Maider;Charef;ST GOBAIN;2410
02SQU;2056336;PHARMACY NUM277;Mme;Borg;Brieux;LE CATELET;2420
02SQU;2056729;PHARMACY NUM278;M;Gauthier;Mélissande;GAUCHY;2430
02SQU;2056734;PHARMACY NUM279;M;Thaï;Fadil;GAUCHY;2430
02SQU;2057036;PHARMACY NUM280;M;Agate;Tom;MONTESCOURT LIZEROLLES;2440
02VER;2056268;PHARMACY NUM281;Mme;Bjorn;Madisson;BOUE;2450
02CHA;2056671;PHARMACY NUM282;Mme;Maryame;Georgia;LA FERTE MILON;2460
02CHA;2057062;PHARMACY NUM283;M;Renan;Adriano;NEUILLY ST FRONT;2470
02SQU;2277648;PHARMACY NUM284;Mme;Corentyn;Galliane;VERMAND;2490
02VER;2056802;PHARMACY NUM285;Mme;Remont;Majda;HIRSON;2500
02VER;2056818;PHARMACY NUM286;Mme;Gwen;Achille;HIRSON;2500
02VER;2056823;PHARMACY NUM287;M;Charef;Adams;HIRSON;2500
02VER;2056839;PHARMACY NUM288;Mme;Bixente;Régnier;HIRSON;2500
02VER;2056844;PHARMACY NUM289;M;Adrial;Cecilian;HIRSON;2500
02VER;2056619;PHARMACY NUM290;M;Mall;Gang;ETREUX;2510
60NOY;2281172;PHARMACY NUM291;M;Céleste;Maryanne;FLAVY LE MARTEL;2520
02VER;2057104;PHARMACY NUM292;Mme;Charif;Cyr;ORIGNY EN THIERACHE;2550
02CHA;2056467;PHARMACY NUM293;Mme;Gwennael;Clément;CHEZY SUR MARNE;2570
02VER;2056603;PHARMACY NUM294;Mme;Malissa;Adrienne;ETREAUPONT;2580
02SQU;2000634;PHARMACY NUM295;Mme;Gwalduz;Berthilde;ETREILLERS;2590
02SOI;2000524;PHARMACY NUM296;Mme;Teanuanua;Magdalina;VILLERS COTTERETS;2600
02SOI;2057591;PHARMACY NUM297;Mme;Marsia;Geoffroi;VILLERS COTTERETS;2600
02SOI;2057633;PHARMACY NUM298;Mme;Chalom;Gaëlle;VILLERS COTTERETS;2600
02SOI;2254395;PHARMACY NUM299;M;Claudy;Bernardine;VILLERS COTTERETS;2600
02VER;2057041;PHARMACY NUM300;Mme;Mannus;Giacobo;MOY DE L AISNE;2610
02VER;2056294;PHARMACY NUM301;Mme;Gil;Magaly;BUIRONFOSSE;2620
